file_flat0,raft_sensor,file_flat1
MC_C_20211206_000747_R21_S00.fits,R21_S00,MC_C_20211206_000748_R21_S00.fits
MC_C_20211206_000747_R30_S02.fits,R30_S02,MC_C_20211206_000748_R30_S02.fits
MC_C_20211206_000747_R01_S12.fits,R01_S12,MC_C_20211206_000748_R01_S12.fits
MC_C_20211206_000747_R32_S00.fits,R32_S00,MC_C_20211206_000748_R32_S00.fits
MC_C_20211206_000747_R22_S11.fits,R22_S11,MC_C_20211206_000748_R22_S11.fits
MC_C_20211206_000747_R14_S01.fits,R14_S01,MC_C_20211206_000748_R14_S01.fits
MC_C_20211206_000747_R32_S22.fits,R32_S22,MC_C_20211206_000748_R32_S22.fits
MC_C_20211206_000747_R03_S20.fits,R03_S20,MC_C_20211206_000748_R03_S20.fits
MC_C_20211206_000747_R11_S10.fits,R11_S10,MC_C_20211206_000748_R11_S10.fits
MC_C_20211206_000747_R22_S22.fits,R22_S22,MC_C_20211206_000748_R22_S22.fits
MC_C_20211206_000747_R41_S10.fits,R41_S10,MC_C_20211206_000748_R41_S10.fits
MC_C_20211206_000747_R14_S10.fits,R14_S10,MC_C_20211206_000748_R14_S10.fits
MC_C_20211206_000747_R31_S10.fits,R31_S10,MC_C_20211206_000748_R31_S10.fits
MC_C_20211206_000747_R13_S22.fits,R13_S22,MC_C_20211206_000748_R13_S22.fits
MC_C_20211206_000747_R21_S10.fits,R21_S10,MC_C_20211206_000748_R21_S10.fits
MC_C_20211206_000747_R13_S21.fits,R13_S21,MC_C_20211206_000748_R13_S21.fits
MC_C_20211206_000747_R43_S22.fits,R43_S22,MC_C_20211206_000748_R43_S22.fits
MC_C_20211206_000747_R21_S11.fits,R21_S11,MC_C_20211206_000748_R21_S11.fits
MC_C_20211206_000747_R12_S01.fits,R12_S01,MC_C_20211206_000748_R12_S01.fits
MC_C_20211206_000747_R20_S02.fits,R20_S02,MC_C_20211206_000748_R20_S02.fits
MC_C_20211206_000747_R30_S21.fits,R30_S21,MC_C_20211206_000748_R30_S21.fits
MC_C_20211206_000747_R13_S01.fits,R13_S01,MC_C_20211206_000748_R13_S01.fits
MC_C_20211206_000747_R41_S12.fits,R41_S12,MC_C_20211206_000748_R41_S12.fits
MC_C_20211206_000747_R03_S02.fits,R03_S02,MC_C_20211206_000748_R03_S02.fits
MC_C_20211206_000747_R12_S22.fits,R12_S22,MC_C_20211206_000748_R12_S22.fits
MC_C_20211206_000747_R32_S21.fits,R32_S21,MC_C_20211206_000748_R32_S21.fits
MC_C_20211206_000747_R01_S10.fits,R01_S10,MC_C_20211206_000748_R01_S10.fits
MC_C_20211206_000747_R31_S02.fits,R31_S02,MC_C_20211206_000748_R31_S02.fits
MC_C_20211206_000747_R24_S12.fits,R24_S12,MC_C_20211206_000748_R24_S12.fits
MC_C_20211206_000747_R43_S02.fits,R43_S02,MC_C_20211206_000748_R43_S02.fits
MC_C_20211206_000747_R23_S20.fits,R23_S20,MC_C_20211206_000748_R23_S20.fits
MC_C_20211206_000747_R12_S00.fits,R12_S00,MC_C_20211206_000748_R12_S00.fits
MC_C_20211206_000747_R04_SG0.fits,R04_SG0,MC_C_20211206_000748_R04_SG0.fits
MC_C_20211206_000747_R04_SW1.fits,R04_SW1,MC_C_20211206_000748_R04_SW1.fits
MC_C_20211206_000747_R42_S22.fits,R42_S22,MC_C_20211206_000748_R42_S22.fits
MC_C_20211206_000747_R02_S00.fits,R02_S00,MC_C_20211206_000748_R02_S00.fits
MC_C_20211206_000747_R21_S12.fits,R21_S12,MC_C_20211206_000748_R21_S12.fits
MC_C_20211206_000747_R12_S21.fits,R12_S21,MC_C_20211206_000748_R12_S21.fits
MC_C_20211206_000747_R11_S00.fits,R11_S00,MC_C_20211206_000748_R11_S00.fits
MC_C_20211206_000747_R20_S11.fits,R20_S11,MC_C_20211206_000748_R20_S11.fits
MC_C_20211206_000747_R34_S10.fits,R34_S10,MC_C_20211206_000748_R34_S10.fits
MC_C_20211206_000747_R13_S11.fits,R13_S11,MC_C_20211206_000748_R13_S11.fits
MC_C_20211206_000747_R21_S21.fits,R21_S21,MC_C_20211206_000748_R21_S21.fits
MC_C_20211206_000747_R40_SG0.fits,R40_SG0,MC_C_20211206_000748_R40_SG0.fits
MC_C_20211206_000747_R14_S02.fits,R14_S02,MC_C_20211206_000748_R14_S02.fits
MC_C_20211206_000747_R12_S11.fits,R12_S11,MC_C_20211206_000748_R12_S11.fits
MC_C_20211206_000747_R41_S20.fits,R41_S20,MC_C_20211206_000748_R41_S20.fits
MC_C_20211206_000747_R23_S21.fits,R23_S21,MC_C_20211206_000748_R23_S21.fits
MC_C_20211206_000747_R22_S00.fits,R22_S00,MC_C_20211206_000748_R22_S00.fits
MC_C_20211206_000747_R31_S21.fits,R31_S21,MC_C_20211206_000748_R31_S21.fits
MC_C_20211206_000747_R31_S12.fits,R31_S12,MC_C_20211206_000748_R31_S12.fits
MC_C_20211206_000747_R12_S20.fits,R12_S20,MC_C_20211206_000748_R12_S20.fits
MC_C_20211206_000747_R32_S02.fits,R32_S02,MC_C_20211206_000748_R32_S02.fits
MC_C_20211206_000747_R12_S02.fits,R12_S02,MC_C_20211206_000748_R12_S02.fits
MC_C_20211206_000747_R23_S02.fits,R23_S02,MC_C_20211206_000748_R23_S02.fits
MC_C_20211206_000747_R14_S22.fits,R14_S22,MC_C_20211206_000748_R14_S22.fits
MC_C_20211206_000747_R01_S00.fits,R01_S00,MC_C_20211206_000748_R01_S00.fits
MC_C_20211206_000747_R11_S02.fits,R11_S02,MC_C_20211206_000748_R11_S02.fits
MC_C_20211206_000747_R24_S00.fits,R24_S00,MC_C_20211206_000748_R24_S00.fits
MC_C_20211206_000747_R03_S12.fits,R03_S12,MC_C_20211206_000748_R03_S12.fits
MC_C_20211206_000747_R10_S20.fits,R10_S20,MC_C_20211206_000748_R10_S20.fits
MC_C_20211206_000747_R33_S01.fits,R33_S01,MC_C_20211206_000748_R33_S01.fits
MC_C_20211206_000747_R03_S11.fits,R03_S11,MC_C_20211206_000748_R03_S11.fits
MC_C_20211206_000747_R04_SW0.fits,R04_SW0,MC_C_20211206_000748_R04_SW0.fits
